reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,kcat_vivo,kcat_vitro,kcat_vitro_log10,kcat_vivo_log10,kcat_Density,absolute_error,square_error,error
3OAR140,b1093,fabG,ECDH1ME8569_1028,5.6852260662193185e-06,4.735823397549392,13.851128029662291,1.1414851435888222,0.6753954988458124,0.3671083606191517,0.46608964474300985,0.21723955693666513,0.46608964474300985
5DOAN,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,1.0124424548679036,30.377234975646303,1.4825482405778136,0.005370348189372941,0.05144219164136023,1.4771778923884407,2.1820545257611554,1.4771778923884407
ACACT2r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,453.65935275888825,7.513621552731064,0.8758493166656525,2.656729868833281,0.12649656689628494,1.7808805521676287,3.171535541088878,-1.7808805521676287
ACACT6r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,354.6715999514593,14.598466522857327,1.1643072382749506,2.5498264140761977,0.12903768790422718,1.385519175801247,1.9196633865129669,-1.385519175801247
ACACT7r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,354.6715999514592,9.980012738360568,0.999131095615645,2.5498264140761973,0.1706429875935212,1.5506953184605523,2.4046559706954738,-1.5506953184605523
ACGK,b3959,argB,ECDH1ME8569_3827,5.571251626104815e-06,15.489525964577023,1.111609688356059,0.04595232326298015,1.1900381269833125,0.05435407237929547,1.1440858037203323,1.3089323262743988,-1.1440858037203323
ACGS,b2818,argA,ECDH1ME8569_2725,1.1443580394640656e-06,71.54155457276583,4.428480632712386,0.6462547496969984,1.8545583729815076,0.19878560910651458,1.2083036232845092,1.4599976460424733,-1.2083036232845092
ACODA,b3957,argE,ECDH1ME8569_3825,5.215679626866349e-06,16.477330063721386,22.207667239012576,1.3465029413295455,1.2168868413094096,0.18608687586557374,0.1296161000201359,0.016800333384429874,0.1296161000201359
ACONTb_num1,b0118,acnB,ECDH1ME8569_0112,9.722313180128597e-06,139.73295808575963,4.863345269243352,0.6869351030463382,2.145298852976169,0.13938162300243329,1.458363749929831,2.126824827109399,-1.458363749929831
ADNK1,b0474,adk,ECDH1ME8569_0458,6.815504389127241e-06,1.0269486857330854,8.620758571925414,0.9355454826584063,0.011548743441745243,0.6328613750606078,0.923996739216661,0.8537699740830224,0.923996739216661
ADSK,b2750,cysC,ECDH1ME8569_2660,1.729888629938562e-06,40.104780654397445,8.908539900678953,0.9498065295093192,1.60319614539009,0.4361686707394149,0.6533896158807708,0.42691799014082127,-0.6533896158807708
ADSS,b4177,purA,ECDH1ME8569_4034,1.0315747924796947e-05,8.911243162858653,16.82987196769284,1.2260808121174753,0.9499382945092186,0.33288770495766457,0.2761425176082567,0.07625469003102636,0.2761425176082567
AGPAT160,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,67.64922374862567,12.003723580206977,1.0793159860053136,1.8302628175837141,0.34297090194716073,0.7509468315784005,0.5639211438576386,-0.7509468315784005
AGPAT161,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,79.5557199835323,3.0969388556419264,0.49093263095593115,1.9006714104813835,0.12153757811661943,1.4097387795254523,1.9873634264979119,-1.4097387795254523
AHCYSNS,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,1.0247743101369797,12.027807548695348,1.0801864705418565,0.010628229631248095,0.5050857263424523,1.0695582409106084,1.1439548306997949,1.0695582409106084
AICART,b4006,purH,ECDH1ME8569_3866,6.116183714588418e-06,25.218221002991875,6.691442482961083,0.8255197492867662,1.4017144463990452,0.44134338837035025,0.576194697112279,0.33200032898031095,-0.576194697112279
AIRC2,b0522,purK,ECDH1ME8569_0507,9.070035925458143e-07,135.80440225755834,7.658017566075227,0.8841163582039893,2.132913848333123,0.24618939159790929,1.2487974901291339,1.5594951713528242,-1.2487974901291339
AMAOTr,b0774,bioA,ECDH1ME8569_0727,5.978299808573923e-07,1.0009130043194416,5.983818608236799,0.7769784199774231,0.000396331839065364,0.4929029053350933,0.7765820881383577,0.603079739617332,0.7765820881383577
ANPRT,b1263,trpD,ECDH1ME8569_1203,2.8658452114775736e-06,6.413084270472731,9.138946919890921,0.9608961548991066,0.8070669467566023,0.44134304152524045,0.15382920814250434,0.023663425277749922,0.15382920814250434
AOXSr2,b0776,bioF,ECDH1ME8569_0729,1.4365728715841214e-07,1.0037994686215435,8.941753789543437,0.951422707433737,0.0016469614448700255,0.6252434605708849,0.949775745988867,0.902073967668709,0.949775745988867
APRAUR,b0414,ribD,ECDH1ME8569_0399,4.165626823733886e-07,1.2921965103306048,12.96921992293838,1.112913854777084,0.11132856386232341,0.47783580997408515,1.0015852909147607,1.0031730949768058,1.0015852909147607
ARGSS,b3172,argG,ECDH1ME8569_3062,1.1015395182054114e-05,8.328361239654082,7.808993819301919,0.8925950790916548,0.9205595542769708,0.43542357701024303,0.027964475185315973,0.0007820118723901528,-0.027964475185315973
ASNS2,b3744,asnA,ECDH1ME8569_3632,1.3177986920249617e-06,50.92149691794679,3.640857952240688,0.561203735302676,1.7069011619425105,0.19048065831437028,1.1456974266398345,1.3126225934091391,-1.1456974266398345
ASPK_num1,b0002,thrA,ECDH1ME8569_0002,1.1672606753288096e-05,25.995466867554512,6.399737627882791,0.8061621694372569,1.4148976215842537,0.42721210612569427,0.6087354521469968,0.37055885070060857,-0.6087354521469968
BMOCOS,b0827,moeA,ECDH1ME8569_0780,1.2728767258595469e-06,1.026157366198363,7.223966380832169,0.8587757161740749,0.011213967043763838,0.6039920027697694,0.847561749130311,0.7183609185888322,0.847561749130311
BMOGDS2_num1,b3857,mobA,ECDH1ME8569_3729,3.5956893146688003e-07,1.0925972733735705,5.6968117401549225,0.7556318677693337,0.0384601123781883,0.46614286615545086,0.7171717553911454,0.5143353267308169,0.7171717553911454
BPNT,b4214,cysQ,ECDH1ME8569_4071,1.9061972641819487e-06,36.48788821670799,7.4003010605330815,0.869249388145655,1.5621487287422753,0.43163340545737716,0.6928993405966203,0.4801094961992312,-0.6928993405966203
BTS5,b0775,bioB,ECDH1ME8569_0728,6.904205995472418e-07,1.0007905635422414,8.942097824392645,0.9514394166348462,0.000343201740465262,0.6246796111100084,0.9510962148943809,0.9045840099864184,0.9510962148943809
CS,b0720,gltA,ECDH1ME8569_0679,1.2312363871569814e-05,110.54884707638499,15.151888626513117,1.1804667694028261,2.0435542176431363,0.2478504562192308,0.8630874482403101,0.74491994330997,-0.8630874482403101
CTPS2,b2780,pyrG,ECDH1ME8569_2690,3.4733219241236484e-06,13.612993395896662,1.876001224504476,0.2732331175160539,1.13395363382771,0.11921307422258057,0.8607205163116562,0.7408398071998041,-0.8607205163116562
CYSS_num1,b2414,cysK,ECDH1ME8569_2348,9.358030673021773e-06,8.22875547152272,2.454839858297908,0.39002316614289834,0.9153341568744126,0.14353353438221678,0.5253109907315142,0.27595163698332503,-0.5253109907315142
DALAt2pp,b4208,cycA,ECDH1ME8569_4065,5.910857392659474e-07,7.415010040006938,10.1107001097466,1.0047812291095386,0.8701117434044089,0.45318456164209014,0.1346694857051297,0.018135870380084136,0.1346694857051297
DAPDC,b2838,lysA,ECDH1ME8569_2745,2.190401187067305e-06,43.75577529937797,8.096461694081736,0.9082952654881798,1.641035383418155,0.41834657076023635,0.7327401179299752,0.5369080804240339,-0.7327401179299752
DBTS,b0778,bioD,ECDH1ME8569_0731,2.209843896863731e-06,1.0002469954351025,4.469215123380568,0.6502312597059051,0.00010725550925494533,0.26825967135300643,0.6501240041966502,0.42266122083268604,0.6501240041966502
DDPA_num1,b2601,aroF,ECDH1ME8569_2522,3.1102376281882683e-06,34.44163915969054,6.290369713841272,0.7986761716714207,1.5370838123829036,0.3995862974364391,0.7384076407114829,0.5452458438610984,-0.7384076407114829
DHDPRy,b0031,dapB,ECDH1ME8569_0028,9.421888277258007e-07,108.44761548265193,7.477642388200831,0.8737646915557324,2.0352200073035434,0.26594292149858745,1.161455315747811,1.3489784504788471,-1.161455315747811
DHDPS,b2478,dapA,ECDH1ME8569_2404,5.166700084031225e-06,20.593926728285123,2.4415624066841186,0.38766782939104827,1.3137391632198858,0.14460905470247534,0.9260713338288376,0.8576081153395223,-0.9260713338288376
DHFS,b2315,folC,ECDH1ME8569_2253,6.390658917833849e-07,1.2856939253570072,7.940210239833845,0.8998320017710396,0.10913759195553385,0.6446708339571681,0.7906944098155058,0.625197649713491,0.7906944098155058
DHORD2,b0945,pyrD,ECDH1ME8569_0896,2.306952442925174e-06,40.132790885993536,2.603129581613225,0.4154957874633871,1.6034993621819151,0.13282262790948926,1.188003574718528,1.4113524935440012,-1.188003574718528
DHPPDA2,b0414,ribD,ECDH1ME8569_0399,4.165626823733886e-07,1.2921965103306048,12.83027571517134,1.1082359892113192,0.11132856386232341,0.4849777969190694,0.9969074253489958,0.9938244147159636,0.9969074253489958
DHPS2,b3177,folP,ECDH1ME8569_3066,4.3278871527791934e-07,1.421862300795269,12.83027571517134,1.1082359892113192,0.1528575395017474,0.4852022215005024,0.9553784497095718,0.9127479821694647,0.9553784497095718
